5386	-2086
1000	-1302
7723	-1613
2359	-5913
7741	-4985
7766	-1650
3750	-8073
7785	-2444
2423	-2188
7801	-1674
2435	-2203
2440	-1765
6476	-6234
5139	-2780
2452	-1197
3810	-8719
2469	-1170
1131	-6006
7853	-1747
5166	-468
3824	-1880
7857	-3385
5170	-5002
1171	-5837
3860	-3631
7902	-6555
1190	-2687
1190	-5894
7911	-561
1195	-5846
2554	-6330
5498	-5341
6599	-3528
6609	-3749
2813	-5856
6637	-3385
1269	-5782
2613	-1842
1277	-5819
1472	-5982
5320	-5052
6849	-3376
1310	-5813
1312	-6067
8198	-6521
2702	-5860
4181	-3608
1494	-5786
8219	-6488
6885	-5651
6894	-5352
1362	-5852
6903	-5894
4216	-1761
6911	-5922
6912	-5860
4243	-1298
6941	-5808
1575	-5952
6958	-5521
2939	-5740
4286	-1332
6983	-3398
6991	-3356
2966	-3845
4311	-1303
7004	-6026
4327	-3280
1652	-5911
3002	-1765
1674	-6170
6754	-5566
3034	-998
7073	-5304
5744	-90
5746	-1
8457	-5767
4461	-6396
1775	-5994
7161	-5532
3132	-4553
1792	-3792
3141	-5697
2734	-2001
7184	-3495
5853	-5797
7197	-5928
7204	-3653
4518	-1777
7209	-5799
4534	-3798
3191	-3832
3205	-8409
7237	-3402
1867	-1944
4572	-1544
3243	-6093
7286	-6241
3265	-885
5967	-64
1941	-1893
4644	-3953
5993	-8198
4655	-6150
7367	-958
8129	-2030
2000	-5903
4691	-4067
3347	-1522
2018	-6149
7398	-3287
2759	-1858
2056	-5897
2760	-5581
4790	-1024
3450	-3700
4795	-5150
6173	-8559
7518	-1579
2142	-1738
6193	-8273
2165	-1125
4854	-5202
7554	-3083
7557	-4738
4870	-5221
3527	-1604
4117	-6367
7578	-834
4896	-885
2209	-1538
6243	-3181
4899	-5200
4909	-742
2236	-1548
4927	-5179
1353	-5765
3590	-3704
2254	-5528
4955	-1193
6813	-3581
7654	-7680
6814	-5593
7668	-3015
7697	-1646
2340	-1260
7717	-1484
5377	-3882
10	-2136
5386	-5170
4042	-7071
1354	-2167
4042	-3184
8074	-6223
4042	-7232
4042	-3280
2698	-8354
8074	-7353
6730	-7371
4042	-1326
1354	-5405
4042	-5417
5386	-3448
1354	-1441
6730	-4086
4042	-5606
4042	-6627
6730	-8645
4042	-7648
5386	-3633
2698	-8126
4042	-6684
1354	-1664
2698	-8739
4042	-7755
6730	-4745
6730	-4755
8074	-4778
6730	-3800
6730	-1786
5386	-2797
5386	-3821
6730	-1811
1354	-4858
6730	-8958
1354	-3936
1354	-1947
5386	-9010
4042	-6995
6820	-105
8164	-4148
4132	-6222
4132	-6348
2788	-8099
1444	-4442
4132	-8602
6820	-2589
6820	-1613
4132	-6668
6820	-2647
6820	-7758
100	-4775
6820	-7819
5476	-8955
6820	-3930
1444	-975
1444	-5007
4132	-7028
7720	-5152
7720	-1136
1000	-5257
2344	-3046
1000	-2263
3688	-3049
2344	-2269
2344	-8321
3688	-357
3688	-3393
3688	-6437
6376	-2433
2344	-3507
5032	-5531
6376	-2526
1000	-6563
2344	-7597
3688	-5602
2344	-4636
6376	-3647
7720	-782
3688	-798
5032	-8908
2344	-851
2344	-5919
2344	-3912
3688	-943
7720	-974
3689	-102
7721	-3176
2345	-1190
1001	-3218
1001	-1260
3689	-5306
1001	-8349
1001	-387
6377	-3507
2345	-2070
3689	-5586
6377	-2590
5033	-624
7721	-2647
2345	-2723
2345	-8784
7721	-6773
2345	-4782
2345	-3789
3689	-7832
2345	-7840
5033	-2834
7721	-5874
5033	-2978
2346	-2029
2346	-2
2346	-2312
6378	-3321
5034	-3322
1002	-3350
3690	-7382
3690	-382
7722	-6584
6378	-2637
7722	-658
6378	-8751
3690	-5753
5034	-5773
3690	-5790
5034	-3791
2346	-4821
5034	-2096
1002	-8887
2346	-2882
7722	-878
7722	-3919
2346	-8001
3690	-6029
2347	-8217
2347	-1176
6379	-3211
6379	-2239
7723	-6271
6379	-5326
2347	-8380
7723	-7403
2347	-4068
6379	-4401
3691	-3498
6379	-8608
2347	-580
3691	-7654
1003	-4676
2347	-4757
7723	-4799
3691	-6840
2347	-3849
3691	-7890
6379	-3866
7723	-6891
3692	-2134
3692	-8217
1004	-3197
2348	-8280
3692	-7080
3692	-3281
2348	-4309
2348	-1292
2348	-7364
7724	-1405
1004	-7458
3692	-8131
7724	-1082
2348	-82
6380	-7906
1004	-1905
3692	-6970
7725	-1146
3693	-7220
2349	-172
6381	-4216
2349	-8411
2349	-4518
7725	-1057
2349	-553
3693	-6601
6381	-8620
7725	-3620
3693	-6696
3693	-689
1005	-1751
6381	-3789
2349	-2817
6381	-1837
7725	-843
7725	-6134
2349	-7988
5037	-5980
5037	-3967
3693	-978
7726	-4173
5038	-2160
6382	-4232
2350	-2236
1006	-2041
3694	-252
2350	-8090
3694	-7340
6382	-307
3694	-332
3694	-347
1006	-6443
3694	-7545
2350	-2537
